id_cliente,tipo_cliente,documento,data_cadastro,cidade,uf,segmento,score_credito,renda_mensal,id_proposta,data_proposta,canal_origem,produto_credito,valor_solicitado,prazo_meses,taxa_mensal_solicitada,status_proposta,motivo_recusa,qtd_contratos,flag_tem_contrato,data_primeira_contratacao,data_ultima_contratacao,valor_liberado_total,taxa_mensal_final_media,prazo_final_meses_medio,status_contratos,canais_originacao,produtos_credito_finais,qtd_parcelas,primeiro_vencimento,ultimo_vencimento,valor_parcelas_total,valor_principal_total,valor_juros_total,status_parcelas,qtd_pagamentos,data_primeiro_pagamento,data_ultimo_pagamento,valor_pago_total,valor_multa_total,valor_juros_mora_total,valor_desconto_total,indice_liberado_sobre_solicitado,indice_credito_sobre_renda,dias_proposta_ate_contratacao,valor_mora_total
10101.0,PF,65137098593,2025-07-23,São Paulo,SP,Emergente,584.0,1400.00,200000,2025-07-31,App,Antecipação,5089.36,12,0.022800,APROVADA,,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10424.0,PF,81806356512,2024-08-30,Porto Alegre,RS,MEI,406.0,3016.32,200001,2025-10-02,WhatsApp,Capital de Giro,6614.55,6,0.027100,APROVADA,,1,1,2025-10-06,2025-10-06,8171.85,0.0470000000,9.0,LIQUIDADO,WhatsApp,Capital de Giro,9,2025-11-05,2026-07-03,8180.93,6946.11,1225.80,ABERTA | ATRASADA | PAGA,7,2025-11-07,2026-07-23,5335.24,4.14,29.50,6.71,1.2354,2.7092,4.0,33.64
10391.0,PF,43987801573,2024-07-28,Porto Alegre,RS,MEI,418.0,3191.70,200002,2025-10-22,Televendas,Parcelado,19102.14,9,0.106300,APROVADA,,1,1,2025-11-01,2025-11-01,4778.47,0.0824000000,18.0,ATIVO,Televendas,Parcelado,9,2025-12-01,2026-07-29,4710.13,4061.70,716.76,ABERTA | ATRASADA | PAGA,8,2025-12-01,2026-08-08,4133.56,4.05,4.09,0.00,0.2502,1.4972,10.0,8.14
10266.0,PF,71168457759,2025-03-17,Goiânia,GO,Premium,303.0,3988.66,200003,2025-10-03,WhatsApp,Parcelado,6981.35,18,0.064600,APROVADA,,1,1,2025-10-06,2025-10-06,1050.07,0.0477000000,24.0,LIQUIDADO,WhatsApp,Parcelado,12,2025-11-05,2026-10-01,1055.97,892.56,157.56,ABERTA | ATRASADA | PAGA,9,2025-11-25,2026-09-03,682.87,0.78,1.75,1.39,0.1504,0.2633,3.0,2.53
10213.0,PF,70568566246,2024-12-26,Florianópolis,SC,Emergente,353.0,3323.26,200004,2025-08-29,WhatsApp,Antecipação,1105.36,12,0.089900,PENDENTE,,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
10178.0,PJ,45650609835841,2024-04-29,Fortaleza,CE,Mass Market,433.0,7386.61,200005,2025-06-14,App,Parcelado,24885.24,12,0.056300,APROVADA,,1,1,2025-06-24,2025-06-24,13871.22,0.0764000000,12.0,ATIVO,App,Parcelado,12,2025-07-24,2026-06-19,13672.99,11790.48,2080.68,ABERTA | ATRASADA | PAGA,8,2025-07-25,2026-04-21,8977.77,12.31,0.97,0.00,0.5574,1.8779,10.0,13.28
10087.0,PF,36057662702,2025-04-09,Belo Horizonte,MG,PME,524.0,5947.62,200006,2025-04-17,WhatsApp,Parcelado,11285.07,12,0.042200,APROVADA,,1,1,2025-04-22,2025-04-22,1098.27,0.0563000000,6.0,CANCELADO,WhatsApp,Parcelado,6,2025-05-22,2025-10-19,1086.28,933.54,164.76,ABERTA | ATRASADA,3,2025-05-24,2025-11-23,541.52,7.84,0.86,0.00,0.0973,0.1847,5.0,8.70
10040.0,PF,59514846564,2025-12-30,Porto Alegre,RS,MEI,593.0,4970.72,200007,2025-08-13,App,Parcelado,10934.05,18,0.051500,APROVADA,,1,1,2025-08-19,2025-08-19,9165.98,0.0354000000,12.0,ATIVO,App,Parcelado,12,2025-09-18,2026-08-14,9066.27,7791.12,1374.84,ABERTA | ATRASADA | PAGA,8,2025-10-20,2026-07-05,5137.61,31.00,15.43,0.00,0.8383,1.8440,6.0,46.43
10400.0,PF,81435368222,2024-03-15,Goiânia,GO,Emergente,466.0,1102.05,200008,2025-06-12,Loja Parceira,Capital de Giro,9423.13,9,0.098400,APROVADA,,1,1,2025-06-21,2025-06-21,27400.24,0.0861000000,3.0,ATIVO,Loja Parceira,Capital de Giro,3,2025-07-21,2025-09-19,26934.73,23290.20,4110.03,ATRASADA | PAGA,4,2025-08-10,2025-09-21,26761.28,247.05,122.78,0.00,2.9078,24.8630,9.0,369.83
10075.0,PF,94717464887,2025-01-24,Florianópolis,SC,PME,595.0,10385.79,200009,2025-03-16,Loja Parceira,Consignado,29273.51,18,0.080600,RECUSADA,Documentação,0,0,,,0.00,,,,,,0,,,0.00,0.00,0.00,,0,,,0.00,0.00,0.00,0.00,0.0000,0.0000,,0.00
